Restaurant ID,Restaurant Name,City,User Rating Votes,User Aggregate Rating,Cuisines,Country
7301965,Pérgula - Copacabana Palace,Rio de Janeiro,3,4.2,International,Brazil
7304307,Confeitaria Colombo,Rio de Janeiro,40,4.6,"Desserts, Cafe",Brazil
7300515,Garota de Ipanema,Rio de Janeiro,58,4.8,"Brazilian, Bar Food",Brazil
7300679,Zuka,Rio de Janeiro,21,4.5,"Italian, Contemporary",Brazil
7302026,La Trattoria,Rio de Janeiro,11,4.5,Italian,Brazil
7300381,Churrascaria Palace,Rio de Janeiro,20,4.9,Steak,Brazil
7301497,Marius Degustare,Rio de Janeiro,16,4.7,"Seafood, International, Grill",Brazil
7301112,Giuseppe Grill Mar,Rio de Janeiro,11,4.5,"Brazilian, Grill, Seafood",Brazil
7300483,Zazá Bistrô Tropical,Rio de Janeiro,26,4.7,Brazilian,Brazil
7300650,Quadrucci,Rio de Janeiro,11,4.5,"Italian, Contemporary",Brazil
7301102,Oro,Rio de Janeiro,3,4.3,Brazilian,Brazil
7302987,Téreze - Hotel Santa Teresa,Rio de Janeiro,7,4.3,International,Brazil
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,5,4.2,"Seafood, Bar Food, Brazilian",Brazil
7301082,Olympe,Rio de Janeiro,3,4.2,French,Brazil
7302549,Café do Alto,Rio de Janeiro,5,4.3,"Brazilian, Cafe",Brazil
7304351,CT Boucherie,Rio de Janeiro,14,4.5,"French, Steak",Brazil
18615392,WAKI Japanese BBQ Dining,Jakarta,1242,4.9,"Japanese, Grill, BBQ, Korean, Asian",Indonesia
18657719,Gyu - Kaku Japanese BBQ,Jakarta,1013,4.8,"Japanese, BBQ",Indonesia
18744154,Sushi Hiro,Jakarta,1492,4.9,"Sushi, Japanese",Indonesia
18567253,Sushi Hiro,Jakarta,4416,4.9,"Sushi, Japanese",Indonesia
18885812,Sushi Go!,Jakarta,1308,4.9,"Japanese, Sushi",Indonesia
18511433,Sushi Go!,Jakarta,1864,4.7,"Japanese, Sushi",Indonesia
18710176,The Garden,Jakarta,1025,4.6,"Western, Asian",Indonesia
18554965,Magal Mapogalmegi BBQ,Jakarta,1219,4.9,"BBQ, Korean, Grill",Indonesia
18597282,Sushi Go!,Jakarta,2704,4.8,"Sushi, Japanese",Indonesia
18589077,Sushi Hiro,Jakarta,1957,4.8,"Sushi, Japanese",Indonesia
18981544,Katsu YA,Jakarta,294,4.2,Japanese,Indonesia
18680113,The Cutt Grill House,Jakarta,675,4.8,"Grill, Western",Indonesia
18464311,Sushi Hiro,Jakarta,2373,4.9,"Sushi, Japanese",Indonesia
18806670,Sushi Go!,Jakarta,730,4.7,Sushi,Indonesia
18793437,Gyu - Kaku Japanese BBQ,Jakarta,1014,4.9,"Japanese, BBQ",Indonesia
18560991,Lawless Burgerbar,Jakarta,979,4.7,"Burger, Western",Indonesia
18745318,Alfred,Jakarta,423,4.4,"Western, Indonesian",Indonesia
18266425,Gyu - Kaku Japanese BBQ,Jakarta,1351,4.9,"Japanese, BBQ",Indonesia
18880385,Gyu - Kaku Japanese BBQ,Jakarta,682,4.9,"Japanese, BBQ",Indonesia
7421967,3 Wise Monkeys,Jakarta,1652,4.5,"Japanese, Sushi",Indonesia
75970,afro-boer,Pretoria,128,4.2,"Cafe, Bakery, Street Food, Patisserie, South African, Healthy Food, Desserts",South Africa
75609,Capital Craft Beer Academy,Pretoria,402,4.5,"Street Food, Burger, American, Finger Food, German",South Africa
75027,Kream,Pretoria,530,4.8,African,South Africa
18289339,Culture Club - Bar De Tapas,Pretoria,260,4.7,"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",South Africa
75380,The Black Bamboo,Pretoria,178,4.7,"Continental, Contemporary, Desserts",South Africa
75858,Crawdaddy's,Pretoria,225,4.4,"Continental, Seafood, Burger, South African, Finger Food, Grill",South Africa
75376,Tribeca Standard,Pretoria,231,3.9,"Cafe, Burger, Pizza",South Africa
18408129,Industrial Coffee Works,Pretoria,110,4.1,"Cafe, Street Food, Burger, Ethiopian, South African, Juices",South Africa
75026,Baobab Cafe & Grill,Pretoria,304,4.2,"Cafe, Grill",South Africa
75485,Doppio Zero,Pretoria,170,3.9,"Italian, Cafe, Bakery",South Africa
18199742,El Pistolero,Pretoria,182,4.4,Mexican,South Africa
18445965,Guy Fieri's Kitchen & Bar,Pretoria,183,2.2,"American, Italian, Continental",South Africa
75121,Moo Moo,Pretoria,331,4.2,"Steak, Continental",South Africa
75104,Parrot's,Pretoria,183,3.7,"Contemporary, Sushi, Grill, Italian, Steak",South Africa
18376958,Mustang Sally's Pub & Diner,Pretoria,122,3.8,"Healthy Food, Burger, American, Desserts, Grill",South Africa
18136493,Hogshead,Pretoria,297,4.2,"Grill, Burger",South Africa
18445936,Something's Cooking by J,Pretoria,145,3.6,"South African, Portuguese, Burger, Pizza",South Africa
18199767,Carbon Bistro,Pretoria,167,4.5,"Seafood, Burger, Steak",South Africa
18376953,tashas,Pretoria,109,4.2,"Cafe, Healthy Food",South Africa
